Country,Cumulative number of cases,Local chains of transmission,date,Number of new cases since last WHO update,Date of last report,Number recovered,Date last probable case reported,Date for which cumulative number of cases is current,Number_of_deaths
Romania,1,NA,2003-05-19,0,NA,1,27/Mar/2003,22/Apr/2003,0
Singapore,206,NA,2003-05-19,1,NA,160,18/May/2003,18/May/2003,28
South Africa,1,NA,2003-05-19,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-05-19,0,NA,1,2/Apr/2003,7/May/2003,0
Sweden,3,NA,2003-05-19,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-05-19,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,8,NA,2003-05-19,0,NA,5,13/May/2003,18/May/2003,2
United Kingdom,4,NA,2003-05-19,0,NA,4,29/Apr/2003,16/May/2003,0
United States,67,NA,2003-05-19,1,NA,34,17/May/2003,17/May/2003,0
Viet Nam,63,NA,2003-05-19,0,NA,58,14/Apr/2003,14/May/2003,5
Total,7864,NA,2003-05-19,116,NA,3847,NA,NA,643
Australia,6,NA,2003-05-20,0,NA,6,12/May/2003,20/May/2003,0
Brazil,2,NA,2003-05-20,0,NA,2,10/Apr/2003,24/Apr/2003,0
Canada,140,NA,2003-05-20,0,NA,106,4/May/2003,16/May/2003,23
China,5248,NA,2003-05-20,17,NA,2254,20/May/2003,20/May/2003,294
China Hong Kong Special Administrative Region^4,1718,NA,2003-05-20,4,NA,1229,20/May/2003,20/May/2003,253
China Macao Special Administrative Region,1,NA,2003-05-20,0,NA,0,9/May/2003,15/May/2003,0
China Taiwan,383,NA,2003-05-20,39,NA,63,19/May/2003,19/May/2003,52
Colombia,1,NA,2003-05-20,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-05-20,0,NA,0,7/May/2003,20/May/2003,0
France,7,NA,2003-05-20,0,NA,6,9/May/2003,16/May/2003,0
Germany,9,NA,2003-05-20,0,NA,9,9/May/2003,20/May/2003,0
India,3,NA,2003-05-20,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-05-20,0,NA,2,23/Apr/2003,20/May/2003,0
Italy,9,NA,2003-05-20,0,NA,9,29/Apr/2003,19/May/2003,0
Kuwait,1,NA,2003-05-20,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,7,NA,2003-05-20,0,NA,5,9/May/2003,19/May/2003,2
Mongolia,9,NA,2003-05-20,0,NA,8,6/May/2003,19/May/2003,0
New Zealand,1,NA,2003-05-20,0,NA,1,30/Apr/2003,20/May/2003,0
Philippines,12,NA,2003-05-20,0,NA,8,15/May/2003,20/May/2003,2
Republic of Ireland,1,NA,2003-05-20,0,NA,1,21/Mar/2003,19/May/2003,0
Republic of Korea,3,NA,2003-05-20,0,NA,2,14/May/2003,20/May/2003,0
Romania,1,NA,2003-05-20,0,NA,1,27/Mar/2003,22/Apr/2003,0
Singapore,206,NA,2003-05-20,0,NA,161,18/May/2003,20/May/2003,28
South Africa,1,NA,2003-05-20,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-05-20,0,NA,1,2/Apr/2003,7/May/2003,0
Sweden,3,NA,2003-05-20,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-05-20,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,8,NA,2003-05-20,0,NA,5,13/May/2003,19/May/2003,2
United Kingdom,4,NA,2003-05-20,0,NA,4,29/Apr/2003,20/May/2003,0
United States,67,NA,2003-05-20,0,NA,34,17/May/2003,19/May/2003,0
Viet Nam,63,NA,2003-05-20,0,NA,58,14/Apr/2003,14/May/2003,5
Total,7919,NA,2003-05-20,60,NA,3984,NA,NA,662
Australia,6,NA,2003-05-21,0,NA,6,12/May/2003,21/May/2003,0
Brazil,2,NA,2003-05-21,0,NA,2,10/Apr/2003,24/Apr/2003,0
Canada,140,NA,2003-05-21,0,NA,108,4/May/2003,20/May/2003,23
China,5249,NA,2003-05-21,12,NA,2335,21/May/2003,21/May/2003,296
China Hong Kong Special Administrative Region^4,1719,NA,2003-05-21,1,NA,1237,21/May/2003,21/May/2003,255
China Macao Special Administrative Region,1,NA,2003-05-21,0,NA,0,9/May/2003,15/May/2003,0
China Taiwan,418,NA,2003-05-21,35,NA,71,20/May/2003,20/May/2003,52
Colombia,1,NA,2003-05-21,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-05-21,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-05-21,0,NA,6,9/May/2003,16/May/2003,0
Germany,9,NA,2003-05-21,0,NA,9,9/May/2003,21/May/2003,0
India,3,NA,2003-05-21,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-05-21,0,NA,2,23/Apr/2003,21/May/2003,0
Italy,9,NA,2003-05-21,0,NA,9,29/Apr/2003,21/May/2003,0
Kuwait,1,NA,2003-05-21,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,8,NA,2003-05-21,1,NA,5,20/May/2003,21/May/2003,2
Mongolia,9,NA,2003-05-21,0,NA,8,6/May/2003,19/May/2003,0
New Zealand,1,NA,2003-05-21,0,NA,1,30/Apr/2003,21/May/2003,0
Philippines,12,NA,2003-05-21,0,NA,10,15/May/2003,21/May/2003,2
Republic of Ireland,1,NA,2003-05-21,0,NA,1,21/Mar/2003,19/May/2003,0
Republic of Korea,3,NA,2003-05-21,0,NA,2,14/May/2003,21/May/2003,0
Romania,1,NA,2003-05-21,0,NA,1,27/Mar/2003,22/Apr/2003,0
Singapore,206,NA,2003-05-21,0,NA,161,18/May/2003,20/May/2003,28
South Africa,1,NA,2003-05-21,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-05-21,0,NA,1,2/Apr/2003,7/May/2003,0
Sweden,3,NA,2003-05-21,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-05-21,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,8,NA,2003-05-21,0,NA,5,13/May/2003,20/May/2003,2
United Kingdom,4,NA,2003-05-21,0,NA,4,29/Apr/2003,21/May/2003,0
United States,66,NA,2003-05-21,0,NA,33,17/May/2003,20/May/2003,0
Viet Nam,63,NA,2003-05-21,0,NA,58,14/Apr/2003,14/May/2003,5
Total,7956,NA,2003-05-21,49,NA,4085,NA,NA,666
Australia,6,NA,2003-05-22,0,NA,6,12/May/2003,22/May/2003,0
Brazil,2,NA,2003-05-22,0,NA,2,10/Apr/2003,24/Apr/2003,0
Canada,140,NA,2003-05-22,0,NA,109,4/May/2003,21/May/2003,23
China,5271,NA,2003-05-22,26,NA,2445,22/May/2003,22/May/2003,300
China Hong Kong Special Administrative Region4,1722,NA,2003-05-22,3,NA,1247,22/May/2003,22/May/2003,258
China Macao Special Administrative Region,2,NA,2003-05-22,1,NA,0,21/May/2003,21/May/2003,0
China Taiwan,483,NA,2003-05-22,65,NA,74,22/May/2003,22/May/2003,60
Colombia,1,NA,2003-05-22,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-05-22,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-05-22,0,NA,6,9/May/2003,22/May/2003,0
Germany,9,NA,2003-05-22,0,NA,9,9/May/2003,21/May/2003,0
India,3,NA,2003-05-22,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-05-22,0,NA,2,23/Apr/2003,22/May/2003,0
Italy,9,NA,2003-05-22,0,NA,9,29/Apr/2003,22/May/2003,0
Kuwait,1,NA,2003-05-22,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,8,NA,2003-05-22,0,NA,5,20/May/2003,21/May/2003,2
Mongolia,9,NA,2003-05-22,0,NA,8,6/May/2003,19/May/2003,0
New Zealand,1,NA,2003-05-22,0,NA,1,30/Apr/2003,22/May/2003,0
Philippines,12,NA,2003-05-22,0,NA,10,15/May/2003,22/May/2003,2
Republic of Ireland,1,NA,2003-05-22,0,NA,1,21/Mar/2003,19/May/2003,0
Republic of Korea,3,NA,2003-05-22,0,NA,2,14/May/2003,22/May/2003,0
Romania,1,NA,2003-05-22,0,NA,1,27/Mar/2003,22/Apr/2003,0
Singapore,206,NA,2003-05-22,0,NA,162,18/May/2003,21/May/2003,29
South Africa,1,NA,2003-05-22,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-05-22,0,NA,1,2/Apr/2003,7/May/2003,0
Sweden,3,NA,2003-05-22,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-05-22,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,8,NA,2003-05-22,0,NA,5,13/May/2003,21/May/2003,2
United Kingdom,4,NA,2003-05-22,0,NA,4,29/Apr/2003,22/May/2003,0
United States,65,NA,2003-05-22,0,NA,33,17/May/2003,21/May/2003,0
Viet Nam,63,NA,2003-05-22,0,NA,58,14/Apr/2003,14/May/2003,5
Total,8046,NA,2003-05-22,95,NA,4210,NA,NA,682
Australia,6,NA,2003-05-23,0,NA,6,12/May/2003,22/May/2003,0
Brazil,2,NA,2003-05-23,0,NA,2,10/Apr/2003,24/Apr/2003,0
Canada,140,NA,2003-05-23,0,NA,109,4/May/2003,21/May/2003,23
China,5285,NA,2003-05-23,20,NA,2544,23/May/2003,23/May/2003,303
China Hong Kong Special Administrative Region^4,1724,NA,2003-05-23,2,NA,1255,23/May/2003,23/May/2003,260
China Macao Special Administrative Region,2,NA,2003-05-23,0,NA,0,21/May/2003,23/May/2003,0
China Taiwan,538,NA,2003-05-23,55,NA,82,22/May/2003,22/May/2003,60
Colombia,1,NA,2003-05-23,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-05-23,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-05-23,0,NA,6,9/May/2003,22/May/2003,0
Germany,9,NA,2003-05-23,0,NA,9,9/May/2003,21/May/2003,0
India,3,NA,2003-05-23,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-05-23,0,NA,2,23/Apr/2003,23/May/2003,0
Italy,9,NA,2003-05-23,0,NA,9,29/Apr/2003,23/May/2003,0
Kuwait,1,NA,2003-05-23,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,8,NA,2003-05-23,0,NA,5,20/May/2003,23/May/2003,2
Mongolia,9,NA,2003-05-23,0,NA,8,6/May/2003,19/May/2003,0
New Zealand,1,NA,2003-05-23,0,NA,1,30/Apr/2003,23/May/2003,0
Philippines,12,NA,2003-05-23,0,NA,10,15/May/2003,23/May/2003,2
Republic of Ireland,1,NA,2003-05-23,0,NA,1,21/Mar/2003,19/May/2003,0
Republic of Korea,3,NA,2003-05-23,0,NA,2,14/May/2003,23/May/2003,0
Romania,1,NA,2003-05-23,0,NA,1,27/Mar/2003,22/Apr/2003,0
Singapore,206,NA,2003-05-23,0,NA,163,18/May/2003,23/May/2003,31
South Africa,1,NA,2003-05-23,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-05-23,0,NA,1,2/Apr/2003,7/May/2003,0
Sweden,3,NA,2003-05-23,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-05-23,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,8,NA,2003-05-23,0,NA,5,13/May/2003,21/May/2003,2
United Kingdom,4,NA,2003-05-23,0,NA,4,29/Apr/2003,23/May/2003,0
United States,65,NA,2003-05-23,0,NA,33,17/May/2003,22/May/2003,0
Viet Nam,63,NA,2003-05-23,0,NA,58,14/Apr/2003,14/May/2003,5
Total,8117,NA,2003-05-23,77,NA,4326,NA,NA,689
Australia,6,NA,2003-05-24,0,NA,6,12/May/2003,22/May/2003,0
Brazil,2,NA,2003-05-24,0,NA,2,10/Apr/2003,24/Apr/2003,0
Canada,140,NA,2003-05-24,0,NA,109,4/May/2003,23/May/2003,23
China,5309,NA,2003-05-24,34,NA,2675,24/May/2003,24/May/2003,308
China Hong Kong Special Administrative Region^4,1724,NA,2003-05-24,0,NA,1266,23/May/2003,24/May/2003,262
China Macao Special Administrative Region,2,NA,2003-05-24,0,NA,0,21/May/2003,23/May/2003,0
China Taiwan,538,NA,2003-05-24,0,NA,82,22/May/2003,22/May/2003,60
Colombia,1,NA,2003-05-24,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-05-24,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-05-24,0,NA,6,9/May/2003,22/May/2003,0
Germany,9,NA,2003-05-24,0,NA,9,9/May/2003,23/May/2003,0
India,3,NA,2003-05-24,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-05-24,0,NA,2,23/Apr/2003,23/May/2003,0
Italy,9,NA,2003-05-24,0,NA,9,29/Apr/2003,24/May/2003,0
Kuwait,1,NA,2003-05-24,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,8,NA,2003-05-24,0,NA,5,20/May/2003,23/May/2003,2
Mongolia,9,NA,2003-05-24,0,NA,8,6/May/2003,19/May/2003,0
New Zealand,1,NA,2003-05-24,0,NA,1,30/Apr/2003,23/May/2003,0
Philippines,12,NA,2003-05-24,0,NA,10,15/May/2003,24/May/2003,2
Republic of Ireland,1,NA,2003-05-24,0,NA,1,21/Mar/2003,23/May/2003,0
Republic of Korea,3,NA,2003-05-24,0,NA,2,14/May/2003,23/May/2003,0
Romania,1,NA,2003-05-24,0,NA,1,27/Mar/2003,22/Apr/2003,0
Singapore,206,NA,2003-05-24,0,NA,163,18/May/2003,23/May/2003,31
South Africa,1,NA,2003-05-24,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-05-24,0,NA,1,2/Apr/2003,7/May/2003,0
Sweden,3,NA,2003-05-24,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-05-24,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,8,NA,2003-05-24,0,NA,5,13/May/2003,21/May/2003,2
United Kingdom,4,NA,2003-05-24,0,NA,4,29/Apr/2003,23/May/2003,0
United States,65,NA,2003-05-24,0,NA,33,17/May/2003,23/May/2003,0
Viet Nam,63,NA,2003-05-24,0,NA,58,14/Apr/2003,14/May/2003,5
Total,8141,NA,2003-05-24,34,NA,4468,NA,NA,696
Australia,6,NA,2003-05-26,0,NA,6,12/May/2003,26/May/2003,0
Brazil,2,NA,2003-05-26,0,NA,2,10/Apr/2003,24/Apr/2003,0
Canada,148,NA,2003-05-26,8,NA,110,25/May/2003,25/May/2003,26
China,5316,NA,2003-05-26,24,NA,2829,26/May/2003,26/May/2003,317
China Hong Kong Special Administrative Region^5,1726,NA,2003-05-26,2,NA,1276,26/May/2003,26/May/2003,267
China Macao Special Administrative Region,2,NA,2003-05-26,0,NA,0,21/May/2003,26/May/2003,0
China Taiwan,585,NA,2003-05-26,62,NA,112,26/May/2003,26/May/2003,72
Colombia,1,NA,2003-05-26,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-05-26,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-05-26,0,NA,6,9/May/2003,22/May/2003,0
Germany,9,NA,2003-05-26,0,NA,9,9/May/2003,26/May/2003,0
India,3,NA,2003-05-26,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-05-26,0,NA,2,23/Apr/2003,23/May/2003,0
Italy,9,NA,2003-05-26,0,NA,9,29/Apr/2003,24/May/2003,0
Kuwait,1,NA,2003-05-26,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-05-26,0,NA,3,20/May/2003,26/May/2003,2
Mongolia,9,NA,2003-05-26,0,NA,8,6/May/2003,19/May/2003,0
New Zealand,1,NA,2003-05-26,0,NA,1,30/Apr/2003,26/May/2003,0
Philippines,12,NA,2003-05-26,0,NA,10,15/May/2003,24/May/2003,2
Republic of Ireland,1,NA,2003-05-26,0,NA,1,21/Mar/2003,23/May/2003,0
Republic of Korea,3,NA,2003-05-26,0,NA,2,14/May/2003,26/May/2003,0
Romania,1,NA,2003-05-26,0,NA,1,27/Mar/2003,22/Apr/2003,0
Singapore,206,NA,2003-05-26,0,NA,163,18/May/2003,23/May/2003,31
South Africa,1,NA,2003-05-26,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-05-26,0,NA,1,2/Apr/2003,7/May/2003,0
Sweden,3,NA,2003-05-26,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-05-26,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,8,NA,2003-05-26,0,NA,6,13/May/2003,25/May/2003,2
United Kingdom,4,NA,2003-05-26,0,NA,4,29/Apr/2003,23/May/2003,0
United States,65,NA,2003-05-26,0,NA,33,17/May/2003,23/May/2003,0
Viet Nam,63,NA,2003-05-26,0,NA,58,14/Apr/2003,14/May/2003,5
Total,8202,NA,2003-05-26,96,NA,4662,NA,NA,725
Australia,6,NA,2003-05-27,0,NA,6,12/May/2003,27/May/2003,0
Brazil,2,NA,2003-05-27,0,NA,2,10/Apr/2003,24/Apr/2003,0
Canada,148,NA,2003-05-27,0,NA,111,25/May/2003,26/May/2003,26
China,5322,NA,2003-05-27,9,NA,2944,27/May/2003,27/May/2003,321
China Hong Kong Special Administrative Region^4,1728,NA,2003-05-27,2,NA,1285,27/May/2003,27/May/2003,269
China Macao Special Administrative Region,2,NA,2003-05-27,0,NA,0,21/May/2003,27/May/2003,0
China Taiwan,596,NA,2003-05-27,13,NA,112,27/May/2003,27/May/2003,76
Colombia,1,NA,2003-05-27,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-05-27,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-05-27,0,NA,6,9/May/2003,22/May/2003,0
Germany,9,NA,2003-05-27,0,NA,9,9/May/2003,26/May/2003,0
India,3,NA,2003-05-27,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-05-27,0,NA,2,23/Apr/2003,23/May/2003,0
Italy,9,NA,2003-05-27,0,NA,9,29/Apr/2003,27/May/2003,0
Kuwait,1,NA,2003-05-27,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-05-27,0,NA,3,20/May/2003,26/May/2003,2
Mongolia,9,NA,2003-05-27,0,NA,9,6/May/2003,27/May/2003,0
New Zealand,1,NA,2003-05-27,0,NA,1,30/Apr/2003,27/May/2003,0
Philippines,12,NA,2003-05-27,0,NA,10,15/May/2003,27/May/2003,2
Republic of Ireland,1,NA,2003-05-27,0,NA,1,21/Mar/2003,23/May/2003,0
Republic of Korea,3,NA,2003-05-27,0,NA,2,14/May/2003,26/May/2003,0
Romania,1,NA,2003-05-27,0,NA,1,27/Mar/2003,22/Apr/2003,0
Singapore,206,NA,2003-05-27,0,NA,163,18/May/2003,23/May/2003,31
South Africa,1,NA,2003-05-27,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-05-27,0,NA,1,2/Apr/2003,7/May/2003,0
Sweden,3,NA,2003-05-27,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-05-27,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,8,NA,2003-05-27,0,NA,6,13/May/2003,26/May/2003,2
United Kingdom,4,NA,2003-05-27,0,NA,4,29/Apr/2003,27/May/2003,0
United States,65,NA,2003-05-27,0,NA,32,17/May/2003,24/May/2003,0
Viet Nam,63,NA,2003-05-27,0,NA,58,14/Apr/2003,14/May/2003,5
Total,8221,NA,2003-05-27,24,NA,4787,NA,NA,735
Australia,6,NA,2003-05-28,0,NA,6,12/May/2003,27/May/2003,0
Brazil,2,NA,2003-05-28,0,NA,2,10/Apr/2003,24/Apr/2003,0
Canada,149,NA,2003-05-28,1,NA,111,27/May/2003,27/May/2003,26
China,5323,NA,2003-05-28,4,NA,3036,28/May/2003,28/May/2003,325
China Hong Kong Special Administrative Region^4,1730,NA,2003-05-28,2,NA,1295,28/May/2003,28/May/2003,270
China Macao Special Administrative Region,2,NA,2003-05-28,0,NA,0,21/May/2003,28/May/2003,0
China Taiwan,610,NA,2003-05-28,22,NA,112,28/May/2003,28/May/2003,81
Colombia,1,NA,2003-05-28,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-05-28,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-05-28,0,NA,6,9/May/2003,22/May/2003,0
Germany,9,NA,2003-05-28,0,NA,9,9/May/2003,28/May/2003,0
India,3,NA,2003-05-28,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-05-28,0,NA,2,23/Apr/2003,28/May/2003,0
Italy,9,NA,2003-05-28,0,NA,9,29/Apr/2003,28/May/2003,0
Kuwait,1,NA,2003-05-28,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-05-28,0,NA,3,20/May/2003,26/May/2003,2
Mongolia,9,NA,2003-05-28,0,NA,9,6/May/2003,27/May/2003,0
New Zealand,1,NA,2003-05-28,0,NA,1,30/Apr/2003,28/May/2003,0
Philippines,12,NA,2003-05-28,0,NA,10,15/May/2003,28/May/2003,2
Republic of Ireland,1,NA,2003-05-28,0,NA,1,21/Mar/2003,23/May/2003,0
Republic of Korea,3,NA,2003-05-28,0,NA,2,14/May/2003,28/May/2003,0
Romania,1,NA,2003-05-28,0,NA,1,27/Mar/2003,22/Apr/2003,0
Singapore,206,NA,2003-05-28,0,NA,165,18/May/2003,28/May/2003,31
South Africa,1,NA,2003-05-28,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-05-28,0,NA,1,2/Apr/2003,7/May/2003,0
Sweden,3,NA,2003-05-28,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-05-28,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,8,NA,2003-05-28,0,NA,6,13/May/2003,27/May/2003,2
United Kingdom,4,NA,2003-05-28,0,NA,4,29/Apr/2003,28/May/2003,0
United States,66,NA,2003-05-28,1,NA,32,27/May/2003,27/May/2003,0
Viet Nam,63,NA,2003-05-28,0,NA,58,14/Apr/2003,14/May/2003,5
Total,8240,NA,2003-05-28,30,NA,4891,NA,NA,745
Australia,6,NA,2003-05-29,0,NA,6,12/May/2003,27/May/2003,0
Brazil,2,NA,2003-05-29,0,NA,2,10/Apr/2003,24/Apr/2003,0
Canada,151,NA,2003-05-29,2,NA,112,28/May/2003,28/May/2003,26
China,5325,NA,2003-05-29,3,NA,3121,29/May/2003,29/May/2003,327
China Hong Kong Special Administrative Region^4,1732,NA,2003-05-29,2,NA,1302,29/May/2003,29/May/2003,273
China Macao Special Administrative Region,1,NA,2003-05-29,0,NA,0,21/May/2003,29/May/2003,0
China Taiwan,660,NA,2003-05-29,60,NA,122,29/May/2003,29/May/2003,81
Colombia,1,NA,2003-05-29,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-05-29,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-05-29,0,NA,6,9/May/2003,22/May/2003,0
Germany,9,NA,2003-05-29,0,NA,9,9/May/2003,28/May/2003,0
India,3,NA,2003-05-29,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-05-29,0,NA,2,23/Apr/2003,29/May/2003,0
Italy,9,NA,2003-05-29,0,NA,9,29/Apr/2003,28/May/2003,0
Kuwait,1,NA,2003-05-29,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-05-29,0,NA,3,20/May/2003,29/May/2003,2
Mongolia,9,NA,2003-05-29,0,NA,9,6/May/2003,27/May/2003,0
New Zealand,1,NA,2003-05-29,0,NA,1,30/Apr/2003,29/May/2003,0
Philippines,12,NA,2003-05-29,0,NA,10,15/May/2003,29/May/2003,2
Republic of Ireland,1,NA,2003-05-29,0,NA,1,21/Mar/2003,23/May/2003,0
Republic of Korea,3,NA,2003-05-29,0,NA,2,14/May/2003,29/May/2003,0
Romania,1,NA,2003-05-29,0,NA,1,27/Mar/2003,22/Apr/2003,0
Singapore,206,NA,2003-05-29,0,NA,165,18/May/2003,28/May/2003,31
South Africa,1,NA,2003-05-29,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-05-29,0,NA,1,2/Apr/2003,7/May/2003,0
Sweden,3,NA,2003-05-29,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-05-29,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,8,NA,2003-05-29,0,NA,6,13/May/2003,28/May/2003,2
United Kingdom,4,NA,2003-05-29,0,NA,4,29/Apr/2003,28/May/2003,0
United States,66,NA,2003-05-29,0,NA,32,27/May/2003,28/May/2003,0
Viet Nam,63,NA,2003-05-29,0,NA,58,14/Apr/2003,14/May/2003,5
Total,8295,NA,2003-05-29,67,NA,4994,NA,NA,750
Australia,6,NA,2003-05-30,0,NA,6,12/May/2003,27/May/2003,0
Brazil,2,NA,2003-05-30,0,NA,2,10/Apr/2003,24/Apr/2003,0
Canada,159,NA,2003-05-30,8,NA,112,29/May/2003,29/May/2003,28
China,5328,NA,2003-05-30,7,NA,3250,30/May/2003,30/May/2003,328
China Hong Kong Special Administrative Region^4,1736,NA,2003-05-30,4,NA,1304,30/May/2003,30/May/2003,274
China Macao Special Administrative Region,1,NA,2003-05-30,0,NA,0,21/May/2003,30/May/2003,0
China Taiwan,667,NA,2003-05-30,7,NA,125,30/May/2003,30/May/2003,81
Colombia,1,NA,2003-05-30,0,NA,1,5/May/2003,5/May/2003,0
Finland,1,NA,2003-05-30,0,NA,1,7/May/2003,20/May/2003,0
France,7,NA,2003-05-30,0,NA,6,9/May/2003,22/May/2003,0
Germany,9,NA,2003-05-30,0,NA,9,9/May/2003,28/May/2003,0
India,3,NA,2003-05-30,0,NA,3,13/May/2003,14/May/2003,0
Indonesia,2,NA,2003-05-30,0,NA,2,23/Apr/2003,29/May/2003,0
Italy,9,NA,2003-05-30,0,NA,9,29/Apr/2003,30/May/2003,0
Kuwait,1,NA,2003-05-30,0,NA,1,9/Apr/2003,20/Apr/2003,0
Malaysia,5,NA,2003-05-30,0,NA,3,20/May/2003,29/May/2003,2
Mongolia,9,NA,2003-05-30,0,NA,9,6/May/2003,27/May/2003,0
New Zealand,1,NA,2003-05-30,0,NA,1,30/Apr/2003,30/May/2003,0
Philippines,12,NA,2003-05-30,0,NA,10,15/May/2003,30/May/2003,2
Republic of Ireland,1,NA,2003-05-30,0,NA,1,21/Mar/2003,23/May/2003,0
Republic of Korea,3,NA,2003-05-30,0,NA,3,14/May/2003,30/May/2003,0
Romania,1,NA,2003-05-30,0,NA,1,27/Mar/2003,22/Apr/2003,0
Singapore,206,NA,2003-05-30,0,NA,165,18/May/2003,29/May/2003,31
South Africa,1,NA,2003-05-30,0,NA,0,9/Apr/2003,3/May/2003,1
Spain,1,NA,2003-05-30,0,NA,1,2/Apr/2003,7/May/2003,0
Sweden,3,NA,2003-05-30,0,NA,3,18/Apr/2003,13/May/2003,0
Switzerland,1,NA,2003-05-30,0,NA,1,17/Mar/2003,16/May/2003,0
Thailand,8,NA,2003-05-30,0,NA,6,13/May/2003,28/May/2003,2
United Kingdom,4,NA,2003-05-30,0,NA,4,29/Apr/2003,30/May/2003,0
United States,66,NA,2003-05-30,0,NA,32,27/May/2003,29/May/2003,0
Viet Nam,63,NA,2003-05-30,0,NA,58,14/Apr/2003,14/May/2003,5
Total,8317,NA,2003-05-30,26,NA,5129,NA,NA,754
Australia,6,NA,2003-05-31,0,NA,6,12/May/2003,27/May/2003,0
Brazil,2,NA,2003-05-31,0,NA,2,10/Apr/2003,24/Apr/2003,0
Canada^4,188,NA,2003-05-31,29,NA,116,30/May/2003,30/May/2003,30
China,5328,NA,2003-05-31,1,NA,3371,31/May/2003,31/May/2003,332
